date,baseis
2014-11-23,2
2014-11-30,4
2014-12-07,3
2014-12-14,3
2014-12-21,2
2014-12-28,5
2015-01-04,6
2015-01-11,2
2015-01-18,5
2015-01-25,4
2015-02-01,3
2015-02-08,1
2015-02-15,4
2015-02-22,4
2015-03-01,2
2015-03-08,4
2015-03-15,5
2015-03-22,4
2015-03-29,3
2015-04-05,4
2015-04-12,4
2015-04-19,2
2015-04-26,3
2015-05-03,5
2015-05-10,5
2015-05-17,7
2015-05-24,20
2015-05-31,9
2015-06-07,11
2015-06-14,9
2015-06-21,49
2015-06-28,17
2015-07-05,12
2015-07-12,17
2015-07-19,11
2015-07-26,8
2015-08-02,7
2015-08-09,9
2015-08-16,18
2015-08-23,100
2015-08-30,12
2015-09-06,6
2015-09-13,5
2015-09-20,5
2015-09-27,5
2015-10-04,3
2015-10-11,3
2015-10-18,4
2015-10-25,2
2015-11-01,4
2015-11-08,3
2015-11-15,3
2015-11-22,4
2015-11-29,2
2015-12-06,2
2015-12-13,4
2015-12-20,1
2015-12-27,2
2016-01-03,2
2016-01-10,3
2016-01-17,5
2016-01-24,3
2016-01-31,3
2016-02-07,3
2016-02-14,3
2016-02-21,3
2016-02-28,5
2016-03-06,3
2016-03-13,2
2016-03-20,2
2016-03-27,3
2016-04-03,3
2016-04-10,3
2016-04-17,5
2016-04-24,2
2016-05-01,3
2016-05-08,5
2016-05-15,11
2016-05-22,13
2016-05-29,11
2016-06-05,8
2016-06-12,35
2016-06-19,31
2016-06-26,23
2016-07-03,20
2016-07-10,10
2016-07-17,10
2016-07-24,7
2016-07-31,6
2016-08-07,7
2016-08-14,13
2016-08-21,77
2016-08-28,6
2016-09-04,6
2016-09-11,4
2016-09-18,6
2016-09-25,3
2016-10-02,4
2016-10-09,2
2016-10-16,2
2016-10-23,4
2016-10-30,4
2016-11-06,2
2016-11-13,2
2016-11-20,4
2016-11-27,2
2016-12-04,3
2016-12-11,1
2016-12-18,2
2016-12-25,4
2017-01-01,4
2017-01-08,4
2017-01-15,2
2017-01-22,2
2017-01-29,3
2017-02-05,2
2017-02-12,3
2017-02-19,1
2017-02-26,2
2017-03-05,2
2017-03-12,3
2017-03-19,5
2017-03-26,2
2017-04-02,2
2017-04-09,2
2017-04-16,2
2017-04-23,3
2017-04-30,2
2017-05-07,2
2017-05-14,3
2017-05-21,2
2017-05-28,3
2017-06-04,5
2017-06-11,7
2017-06-18,9
2017-06-25,17
2017-07-02,14
2017-07-09,15
2017-07-16,7
2017-07-23,3
2017-07-30,5
2017-08-06,5
2017-08-13,6
2017-08-20,51
2017-08-27,8
2017-09-03,5
2017-09-10,3
2017-09-17,3
2017-09-24,2
2017-10-01,4
2017-10-08,2
2017-10-15,1
2017-10-22,3
2017-10-29,3
2017-11-05,2
2017-11-12,2
2017-11-19,3
2017-11-26,2
2017-12-03,1
2017-12-10,2
2017-12-17,2
2017-12-24,1
2017-12-31,1
2018-01-07,2
2018-01-14,2
2018-01-21,1
2018-01-28,1
2018-02-04,1
2018-02-11,2
2018-02-18,2
2018-02-25,3
2018-03-04,3
2018-03-11,4
2018-03-18,3
2018-03-25,3
2018-04-01,2
2018-04-08,2
2018-04-15,2
2018-04-22,3
2018-04-29,2
2018-05-06,3
2018-05-13,3
2018-05-20,3
2018-05-27,2
2018-06-03,3
2018-06-10,5
2018-06-17,9
2018-06-24,19
2018-07-01,17
2018-07-08,12
2018-07-15,7
2018-07-22,4
2018-07-29,6
2018-08-05,5
2018-08-12,6
2018-08-19,9
2018-08-26,31
2018-09-02,4
2018-09-09,5
2018-09-16,3
2018-09-23,4
2018-09-30,2
2018-10-07,5
2018-10-14,2
2018-10-21,2
2018-10-28,1
2018-11-04,2
2018-11-11,2
2018-11-18,2
2018-11-25,4
2018-12-02,1
2018-12-09,2
2018-12-16,1
2018-12-23,2
2018-12-30,1
2019-01-06,1
2019-01-13,2
2019-01-20,3
2019-01-27,2
2019-02-03,2
2019-02-10,2
2019-02-17,2
2019-02-24,2
2019-03-03,2
2019-03-10,2
2019-03-17,2
2019-03-24,2
2019-03-31,2
2019-04-07,2
2019-04-14,2
2019-04-21,2
2019-04-28,1
2019-05-05,1
2019-05-12,2
2019-05-19,2
2019-05-26,3
2019-06-02,2
2019-06-09,4
2019-06-16,3
2019-06-23,9
2019-06-30,11
2019-07-07,7
2019-07-14,4
2019-07-21,6
2019-07-28,3
2019-08-04,5
2019-08-11,3
2019-08-18,6
2019-08-25,44
2019-09-01,5
2019-09-08,3
2019-09-15,3
2019-09-22,2
2019-09-29,2
2019-10-06,3
2019-10-13,3
2019-10-20,2
2019-10-27,2
2019-11-03,1
2019-11-10,2
2019-11-17,0
